id,question,category
train_0316,Biển báo bên tay trái chỉ dẫn xe làm gì?,biển báo
train_0317,"Trong video, xe con có thể vượt xe màu xanh bên phải và chuyển sang làn bên phải không?","biển báo, làn đường"
train_0318,Các biển báo tại trạm thu phí trong video có ý nghĩa gì?,biển báo
train_0319,"Theo như các biển báo trong video thì xe được phép dừng từ 10 phút trở lên, đúng hay sai?",biển báo
train_0320,"Biển báo cấm bên phải làn xe đang chạy trong video có ý nghĩa cấm xe 2 bánh và 3 bánh lưu thông trên đoạn đường này, đúng hay sai?","biển báo, làn đường"
train_0321,Biển báo cấm bên phải làn xe đang chạy trong video có ý nghĩa gì?,"biển báo, làn đường"
train_0322,Biển báo hướng dẫn bên trái trong video có ý nghĩa chỉ dẫn nơi được phép quay đầu xe.,biển báo
train_0323,Biển báo hướng dẫn bên trái trong video có ý nghĩa gì?,biển báo
train_0324,Biển báo cấm áp dụng cho phương tiện nào trên làn đường xe đang chạy?,"biển báo, làn đường"
train_0325,Xe ô tô có được phép di chuyển trong làn đường bên phải hay không?,"biển báo, làn đường"
train_0326,"Biển báo cấm trong video có ý nghĩa giới hạn tốc độ tối đa cho xe tải và xe sơ mi rơ-moóc là 40 km/h, đúng hay sai?",biển báo
train_0327,Biển báo cấm trong video có ý nghĩa gì?,biển báo
train_0328,Biển báo đầu tiên bên phải trong video cảnh báo điều gì?,biển báo
train_0329,Xe ô tô có được phép rẽ trái không?,biển báo
train_0330,Biển báo cấm nào xuất hiện trong video?,biển báo
train_0331,Trong video có biển hiệu lệnh hướng phải đi vòng sang phải không?,biển báo
train_0332,"Trong video, có bao nhiêu loại biển báo xuất hiện trên dải phân cách?","biển báo, làn đường"
train_0333,"Trong video, có xuất biển báo cấm ngược chiều không?",biển báo
train_0334,Trong video này có xuất bao nhiêu loại biển báo?,biển báo
train_0335,"Trong video, có xuất 2 loại biển báo, đúng hay sai?",biển báo
train_0336,"Trong video này, các phương tiện có được phép dừng và đỗ không?",biển báo
train_0337,Biển báo cấm trong video này có ý nghĩa gì?,biển báo
train_0338,Nếu muốn đi về cầu Tân Thuận 2 thì cần đi hướng nào?,biển báo
train_0339,Xe đang chạy có được rẽ trái không?,biển báo
train_0340,Trong video có xuất hiện đèn đỏ không?,đèn giao thông
train_0341,Biển báo cấm bên trái làn xe chạy trong video có ý nghĩa gì?,"biển báo, làn đường"
train_0342,"Biển báo cấm bên trái làn xe chạy trong video có ý nghĩa cấm dừng và đỗ xe, đúng hay sai?","biển báo, làn đường"
train_0343,Ô tô đang chạy trên làn đường được cho phép với tốc độ bao nhiêu km/h?,"biển báo, làn đường"
train_0344,Làn đường xe đang chạy có dành cho xe máy không?,làn đường
train_0345,Đường Nguyễn Thị Thập đi theo hướng nào?,"biển báo, làn đường"
train_0346,"Trong video, đường Nguyễn Thị Thập đi theo hướng đi thẳng, phải không?","biển báo, làn đường"
train_0347,Đường Trần Xuân Soạn đi theo hướng nào?,"biển báo, làn đường"
train_0348,Theo biển chỉ dẫn trên làn đường xe chạy phương tiện được phép di chuyển theo hướng nào?,"biển báo, làn đường"
train_0349,Video có xuất hiện đèn đỏ không?,đèn giao thông
train_0350,Biển báo cấm xuất hiện đầu tiên phía tay phải trong video mang ý nghĩa gì?,biển báo
train_0351,Tại làn xe đang chạy có thể rẽ trái tại nút giao tiếp theo đúng không?,"biển báo, làn đường"
train_0352,Những loại biển nào xuất hiện trong video (Chọn đáp án đúng và đầy đủ nhất)?,biển báo
train_0353,Biển báo cấm xuất hiện trong video mang ý nghĩa gì?,biển báo
train_0354,"Trên làn đường xe đang chạy, phương tiện có được phép rẽ không?","biển báo, làn đường"
train_0355,Biển báo hình chữ nhật nền xanh trên làn đường đang chạy có ý nghĩa gì?,"biển báo, làn đường"
train_0356,Trong video có xuất hiện đèn giao thông không?,đèn giao thông
train_0357,"Biển báo cấm xuất hiện đầu tiên phía tay trái trong video mang ý nghĩa cấm dừng và đỗ xe, đúng hay sai?",biển báo
train_0358,Biển báo cấm xuất hiện đầu tiên phía tay trái trong video mang ý nghĩa gì?,biển báo
train_0359,Trong video xuất hiện những loại biển báo nào? Chọn đáp án đúng và đầy đủ nhất.,biển báo
train_0360,Có biển báo nguy hiểm trong video không?,biển báo
train_0361,Biển báo cấm trong video bên phải có ý nghĩa gì?,biển báo
train_0362,Biển báo cấm xuất hiện trong video có ý nghĩa gì?,biển báo
train_0363,"Biển báo cấm xuất hiện trong video có ý nghĩa cấm quay đầu xe, đúng hay sai?",biển báo
train_0364,"Trong video này, theo biển chỉ dẫn thì hướng đi đường Lê Khả Phiêu là đi theo hướng nào?","biển báo, làn đường"
train_0365,"Trong video này, phương tiện cần rẽ trái để đến đường Huỳnh Tấn Phát là đúng hay sai?","biển báo, làn đường"
train_0366,Phương tiện nào trong video được phép rẽ phải?,biển báo
train_0367,Trong video này có biển báo nguy hiểm Đường giao nhau không?,"biển báo, làn đường"
train_0368,"Trong video, biển giới hạn tốc độ tối đa 80 km/h áp dụng cho xe con và xe khách, phải không?",biển báo
train_0369,Biển cấm dừng và đỗ xe có hiệu lực như thế nào?,biển báo
train_0370,Biển giới hạn tốc độ tối đa 80km/h áp dụng cho những phương tiện nào?,biển báo
train_0371,Phương tiện nào bị cấm di chuyển trên làn xe đang chạy?,"biển báo, làn đường"
train_0372,"Trên làn đường hiện tại, xe ô tô có được chạy với tốc độ 60km/h không?","biển báo, làn đường"
train_0373,"Biển báo cấm trong video bên phải làn xe chạy có ý nghĩa cấm đi ngược chiều, đúng hay sai?","biển báo, làn đường"
train_0374,Biển báo cấm trong video bên phải làn xe chạy có ý nghĩa gì?,"biển báo, làn đường"
train_0375,Biển giới hạn tốc độ áp dụng cho xe con và xe khách là bao nhiêu?,biển báo
train_0376,"Trong video, biển giới hạn tốc độ áp dụng cho xe o tô con là bao nhiêu",biển báo
train_0377,Hướng di chuyển trong video xuất hiện những loại biển báo nào? Chọn đáp án đúng và đầy đủ nhất.,biển báo
train_0378,Xe mô tô được phép đi hướng nào kể cả khi đèn đỏ trong video?,"biển báo, đèn giao thông"
train_0379,"Trong video, biển báo cấm nào xuất hiện",biển báo
train_0380,Các phương tiện có được phép trái khi đèn xanh không?,"biển báo, đèn giao thông"
train_0381,Biển báo cấm bên trái làn xe chạy trong video có ý nghĩa gì?,"biển báo, làn đường"
train_0382,"Trong video nếu rẽ phải, tốc độ tối đa cho phép của xe ô tô con là bao nhiêu?",biển báo
train_0383,Tải trọng tối đa khi di chuyển trên đoạn đường trong video là bao nhiêu?,"biển báo, làn đường"
train_0384,Biển báo cấm xuất hiện trong video có ý nghĩa gì?,biển báo
train_0385,Trong video có biển báo cấm không?,biển báo
train_0386,Xe máy có được phép lưu thông trên làn đường ô tô đang chạy trong video không?,"biển báo, làn đường"
train_0387,"Khi thấy cụm biển báo này, xe ô tô con được phép chạy tối đa bao nhiêu km/h?",biển báo
train_0388,Trong video xe tải được đi với tốc độ tối đa là bao nhiêu?,biển báo
train_0389,"Theo biển chỉ dẫn, các phương tiện được phép đi những hướng nào?",biển báo
train_0390,Biển xuất hiện đầu tiên là loại biển báo gì?,biển báo
train_0391,Muốn đi đến bệnh viện Tâm Anh thì rẽ phải đúng không?,biển báo
train_0392,"Trong video, thời gian cấm xe sơ mi rơ móc là từ mấy giờ?",biển báo
train_0393,Biển báo giới hạn tốc độ nào xuất hiện trong video?,biển báo
train_0394,Biển báo giới hạn tốc độ nào xuất hiện trong video?,biển báo
train_0395,Nêu ý nghĩa của biển báo cấm tải trọng trong video?,biển báo
train_0396,"Trong video, có bao nhiêu biển giới hạn tốc độ?",biển báo
train_0397,Trong video này đoạn đường xe đang lưu thông hạn chế các phương tiện trọng lượng 10 tấn. đúng hay sai?,làn đường
train_0398,Thời gian cấm xe ô tô giường nằm trong video là mấy giờ?,biển báo
train_0399,Biển báo màu vàng trong video có ý nghĩa gì?,biển báo
train_0400,Biển báo cấm xuất hiện trong video là biển báo gì?,biển báo
train_0401,"Nếu xe của bạn cao 2,6m, bạn có được đi qua đoạn đường có biển báo trong video này không?","biển báo, làn đường"
train_0402,Biển cảnh báo “Nhiều chỗ ngoặt nguy hiểm” xuất hiện trong video. Đúng hay sai?,biển báo
train_0403,Biển cảnh báo nào xuất hiện trong video?,biển báo
train_0404,Biển báo chỉ dẫn bên phải làn xe chạy trong video có ý nghĩa gì?,"biển báo, làn đường"
train_0405,Mấy trăm mét nữa sẽ đến trạm xăng?,biển báo
train_0406,"Trong video này, phương tiện được phép rẽ trái đúng không?",biển báo
train_0407,"Khi gặp biển báo này, người lái xe phải làm gì?",biển báo
train_0408,Biển báo nguy hiểm bên phải làn xe chạy trong video báo hiệu đường giao nhau cùng cấp phía bên trái.,"biển báo, làn đường"
train_0409,Biển báo nguy hiểm bên phải làn xe chạy trong video có ý nghĩa gì?,"biển báo, làn đường"
train_0410,"Biển báo cấm trong video có ý nghĩa cấm dừng xe và đỗ xe, đúng hay sai?",biển báo
train_0411,Biển báo cấm video có ý nghĩa gì?,biển báo
train_0412,Có bao nhiêu biển báo nguy hiểm xuất hiện trong video?,biển báo
train_0413,Có 1 biển báo nguy hiểm xuất hiện trong video. Đúng hay sai?,biển báo
train_0414,Biển cảnh báo được đặt phía trên trong video báo hiệu phía trước có ngã ba đúng hay sai?,biển báo
train_0415,Biển cảnh được đặt phía trên trong video có ý nghĩa gì?,biển báo
train_0416,"Biển báo cấm bên phải trong video có ý nghĩa cấm dừng và đỗ xe, đúng hay sai?",biển báo
train_0417,Biển báo cấm xuất hiện đầu tiên trong video là biển nào?,biển báo
train_0418,Có bao nhiêu loại biển báo cấm xuất hiện trong video?,biển báo
train_0419,Phương tiện có được đỗ trên làn đường hiện tại không?,làn đường
train_0420,Biển báo nguy hiểm bên phải làn xe chạy trong video báo hiệu đoạn đường thường có trẻ em đi qua,"biển báo, làn đường"
train_0421,Biển báo nguy hiểm bên phải làn xe chạy trong video có ý nghĩa gì?,"biển báo, làn đường"
train_0422,Biển hiệu lệnh trên làn đường đang chạy áp dụng cho phương tiện nào?,"biển báo, làn đường"
train_0423,Hướng đi theo biển hiệu lệnh trên làn đường đang chạy là hướng nào?,"biển báo, làn đường"
train_0424,"Trong video này, xe ô tô trên làn đường đang chạy có được phép rẽ trái khi đến nút giao không?","biển báo, làn đường"
train_0425,Nút giao trong video có đèn tín hiệu không?,đèn giao thông
train_0426,"Theo biển hiệu lệnh, phương tiện phải đi theo hướng nào?",biển báo
train_0427,Biển báo cấm xuất hiện trong video có ý nghĩa gì?,biển báo
train_0428,Biển báo cấm phía bên phải làn đường đang chạy có ý nghĩa gì?,"biển báo, làn đường"
train_0429,"Biển báo phía bên phải làn đường đang chạy thuộc loại biển báo chỉ dẫn, đúng hay sai?","biển báo, làn đường"
train_0430,Biển báo cấm trên làn đường đang chạy áp dụng cho loại phương tiện nào?,"biển báo, làn đường"
train_0431,"Trong video này, biển báo cấm áp dụng cho loại phương tiện nào?",biển báo
train_0432,Trong video có biển hiệu lệnh không?,biển báo
train_0433,Biển cảnh báo nguy hiểm trên làn đường đang chạy là gì?,"biển báo, làn đường"
train_0434,"Trong video này, các phương tiện trên làn đường đang chạy khi đến nút giao có được phép rẽ trái không?","biển báo, làn đường"
train_0435,Biển báo cấm trên làn đường đang chạy có ý nghĩa gì?,"biển báo, làn đường"
train_0436,"Trong video, trước nút giao thông có 2 biển báo thuộc 2 nhóm biển báo khác nhau đúng không?",biển báo
train_0437,Biển báo cấm trên làn đường đang chạy áp dụng cho loại phương tiện nào?,"biển báo, làn đường"
train_0438,Có 4 loại biển báo cấm xuất hiện trong video. Đúng hay sai?,biển báo
train_0439,Có bao nhiêu loại biển báo cấm xuất hiện trong video?,biển báo
train_0440,"Biển báo cấm đầu tiên trong video để cấm xe sơ mi rơ-moóc lưu thông trong khung giờ nhất định, đúng hay sai?",biển báo
train_0441,Biển báo cấm đầu tiên trong video để cấm phương tiện nào lưu thông trong khung giờ nhất định?,biển báo
train_0442,Hướng cầu Tân Thuận là hướng nào?,biển báo
train_0443,Hướng cầu Tân Thuận là hướng đi thẳng. Đúng hay sai?,biển báo
train_0444,Những loại biển báo nào xuất hiện trong video?,biển báo
train_0445,Trong video có bao nhiêu biển báo?,biển báo
train_0446,"Biển báo cấm, biển báo phụ và biển chỉ dẫn, đúng hay sai?",biển báo
train_0447,Tốc độ tối đa được phép đề cập trong video là bao nhiêu?,biển báo
train_0448,Những biển báo nào xuất hiện trong video?,biển báo
train_0449,Phương tiện trong video có tuân thủ đúng tốc độ tối đa được phép không?,biển báo
train_0450,"Trong video này, có 2 biển báo xuất hiện, đúng hay sai?",biển báo
train_0451,"Trong video này, có những loại biển báo nào?",biển báo
train_0452,Trong video có cấm người đi bộ đi thẳng không?,biển báo
train_0453,"Trong video này, nếu phương tiện tiếp tục di chuyển sẽ phải như thế nào?",biển báo
train_0454,Trong video có xuất hiện biển báo nguy hiểm đúng không?,biển báo
train_0455,"Trong video, có phải xuất hiện biển báo nguy hiểm không?",biển báo
train_0456,"Trong video này, mục đích chính của hệ thống biển báo tại vị trí này là nhằm cảnh báo người lái xe về điều gì?",biển báo
train_0457,"Phương tiện ô tô cấm quay xe 24/24, đúng hay sai?",biển báo
train_0458,Biển báo cấm quay xe cho đối tượng nào?,biển báo
train_0459,Có loại phương tiện nào không cần thực hiện các lệnh cấm trong khung giờ?,biển báo
train_0460,"Trong video, làn đường trong cùng bên phải dành cho xe mô tô, đúng hay sai?",làn đường
train_0461,"Trong video này, tốc độ tối đa cho phép hiện tại đối với xe ô tô con (dưới 9 chỗ) đang đi ở làn bên phải là bao nhiêu?","biển báo, làn đường"
train_0462,Trong video quy các loại xe nào đi theo làn giữa?,làn đường
train_0463,Trong video có xuất hiện biển báo hiệu lệnh không?,biển báo
train_0464,"Trong video này, tài xế có được phép điều khiển phương tiện của mình tạt vào phía bên phải vạch kẻ đường ngoài cùng để dừng hoặc đỗ xe hay không?","biển báo, làn đường"
train_0465,"Trong video này, vạch kẻ đường nào đang được sử dụng để phân chia giữa làn xe đang di chuyển và làn bên phải của nó?","biển báo, làn đường"
train_0466,"Trong video này, người lái xe có được phép tăng tốc độ để vượt qua chiếc xe màu trắng đang đi phía trước hay không?",biển báo
train_0467,Trong video có xuất hiện biển báo hiệu lệnh không?,biển báo
train_0468,"Trong video, có phải xuất hiện biển báo nguy hiểm không?",biển báo
train_0469,"Trong video này, người lái xe khi vào vòng xuyến (vòng xoay) sẽ đi theo hướng nào?",biển báo
train_0470,"Trong video, xuất hiện 1 loại biển báo đúng không?",biển báo
train_0471,"Trong video, xuất hiện những loại biển báo nào sau đây?",biển báo
train_0472,"Trong video này, người lái xe có được phép tăng tốc để vượt qua chiếc xe ô tô trắng đang đi phía trước ngay tại vị trí vạch người đi bộ qua đường này không?","biển báo, làn đường"
train_0473,"Trong video này, biển báo bên phải đường là biển báo cấm đỗ xe, đúng hay sai?","biển báo, làn đường"
train_0474,"Trong video này, người lái xe phải giảm tốc độ và nhường đường cho loại phương tiện nào trước khi đi qua khu vực vạch kẻ đường phía trước?","biển báo, làn đường"
train_0475,"Trong video này biển báo bên phải đường là biển báo cấm quay đầu, đúng hay sai?","biển báo, làn đường"
train_0476,"Trong video này, tài xế có thể thực hiện hành động vượt chiếc xe ô tô trắng đang đi phía trước bằng cách chuyển làn không?","biển báo, làn đường"
train_0477,"Trong video này, người lái xe có thể nhận thấy biển báo cảnh báo công trường đang thi công được đặt ở lề đường bên phải, đúng không?","biển báo, làn đường"
train_0478,"Trong video này, người lái xe có thể nhận thấy biển báo cảnh báo nào được đặt ở lề đường bên phải?","biển báo, làn đường"
train_0479,"Trong video này, những biển báo cảnh báo nào xuất hiện? (Chọn đáp án đúng và đầy đủ nhất)",biển báo
train_0480,"Trong video này, biển báo tam giác viền đỏ đặt ở phía trên có ý nghĩa gì?",biển báo
train_0481,"Khi gặp 2 biển cảnh báo như trong video, người điều khiển phương tiện cần phải dừng hẳn xe lại để quan sát rồi mới đi tiếp. Đúng hay Sai?",biển báo
train_0482,"Trong video này, biển tròn đỏ báo hiệu điều gì?",biển báo
train_0483,"Biển báo cấm ở bên trái hướng phương tiện di chuyển trong video có ý nghĩa là cấm đi ngược chiều trên đoạn đường này, đúng không?","biển báo, làn đường"
train_0484,"Trong video này, những biển báo nào xuất hiện? (Chọn đáp án đúng và đầy đủ nhất)",biển báo
train_0485,Biển báo nào xuất hiện đầu tiên trong video?,biển báo
train_0486,"Trong video, xe con có thể chuyển làn vào làn bên phải không?","biển báo, làn đường"
train_0487,"Biển cấm được đặt ở phía trên trong video là biển cấm rẽ trái, đúng hay sai?",biển báo
train_0488,"Trong video, những biển báo nào xuất hiện? Chọn đáp án đúng và đầy đủ nhất.",biển báo
train_0489,Biển cấm được đặt ở phía trên trong video là biển gì?,biển báo
train_0490,Biển cấm được đặt phía dưới trong video là biển gì?,biển báo
train_0491,"Biển cấm được đặt phía dưới trong video là biển cấm xe tải, đúng hay sai?",biển báo
train_0492,"Trong video, xe ô tô chỉ có thể đi thẳng từ 6h đến 22h đúng không?",biển báo
train_0493,"Trong video, nếu xe di chuyển ở làn trong cùng bên phải thì có được rẽ trái ở nút giao tiếp thao không?","biển báo, làn đường"
train_0494,"Trong video, ý nghĩa của các biển báo hình tròn là gì?",biển báo
train_0495,"Trong video, theo bảng chỉ dẫn, xe sẽ đi thẳng tới đường nào?","biển báo, làn đường"
train_0496,Trong video có xuất hiện biển báo hiệu lệnh không?,biển báo
train_0497,Ý nghĩa của toàn bộ cột biển báo ở bên phải xe con là gì?,biển báo
train_0498,Trong video có bao nhiêu nhóm biển báo?,biển báo
train_0499,Trong video có xuất hiện biển báo hiệu lệnh không?,biển báo
train_0500,"Trong video, các biển báo có thể nhận diện thuộc mấy nhóm biển báo?",biển báo
train_0501,"Hai biển báo bên trái đường trong video cùng thuộc biển báo cấm, đúng hay sai?","biển báo, làn đường"
train_0502,"Theo nội dung biển chỉ dẫn trong video, nếu xe con muỗn rẽ trái ở nút giao tiếp theo thì xe phải chuyển sang làn bên trái đúng không?","biển báo, làn đường"
train_0503,Nội dung của nhóm biển cấm và biển báo phụ trong video là gì?,biển báo
train_0504,Trong video có xuất hiện biển cảnh báo đường hẹp bên phải không?,"biển báo, làn đường"
train_0505,Ý nghĩa của biển cảnh báo nguy hiểm trong video là gì?,biển báo
train_0506,"Trong video, khi xe con đang ở giữa giao lộ thì xuất hiện bao nhiêu nhóm biển báo trong khung hình?",biển báo
train_0507,"Trong video, loại phương tiện nào được phép lưu thông ở làn đường trong cùng sát vỉa hè?","biển báo, làn đường"
train_0508,"Trong video, phương tiện có được rẽ phải khi đèn đỏ không?","biển báo, đèn giao thông"
train_0509,"Trong video, có bao nhiêu làn mà xe con có thể rẽ phải tại giao lộ tiếp theo?","biển báo, làn đường"
train_0510,"Trong video, các phương tiện được dừng xe vào lúc 12h không?",biển báo
train_0511,"Trong video này, tín hiệu đèn giao thông đang bật có ý nghĩa gì đối với người lái xe đang ở trong làn đường này?","làn đường, đèn giao thông"
train_0512,"Trong video này, phương tiện có được phép rẽ trái khi đến nút giao không?",biển báo
train_0513,"Trong video này, theo cụm biển báo bên phải, hành vi nào bị cấm trên tuyến đường này trong các khung giờ được quy định?","biển báo, làn đường"
train_0514,"Trong video này, ô tô có được di chuyển vào làn đường trong cùng bên phải không?","biển báo, làn đường"
train_0515,"Trong video này, vạch kẻ đường bên phải cho phép tài xế thực hiện hành vi nào sau đây khi đảm bảo đủ điều kiện an toàn?",làn đường
train_0516,"Trong video này, để bắt đầu quy trình chuyển sang làn bên phải một cách hợp lệ, thao tác nào sau đây phải là bước thực hiện đầu tiên?",làn đường
train_0517,"Trong video này, vạch kẻ đường nét đứt màu trắng giữa làn xe của tài xế và làn xe máy có phải dùng để phân chia hai chiều xe chạy không?",làn đường
train_0518,"Trong video này, để thực hiện việc chuyển sang làn bên phải, quy trình nào sau đây là đúng luật và đảm bảo an toàn nhất?",làn đường
train_0519,"Trong video này, người lái xe có được phép điều khiển phương tiện đi vào làn đường có cắm biển báo hình tròn màu đỏ phía trước không?","biển báo, làn đường"
train_0520,"Trong video này, khi tiến đến gần vạch kẻ đường dành cho người đi bộ, người lái xe phải thực hiện hành động ưu tiên nào sau đây?",làn đường
train_0521,"Trong video này, có xuất hiện 2 loại biển báo đúng hay sai?",biển báo
train_0522,"Trong video này, khi tiến vào đoạn đường có cụm biển báo nguy hiểm xuất hiện thứ 2 bên phải, quy trình xử lý nào của tài xế là đúng và an toàn nhất?","biển báo, làn đường"
train_0523,"Trong video, những loại biển báo nào sau đây xuất hiện trên dải phân cách?","biển báo, làn đường"
train_0524,"Trong video này biển báo cấm bên tay phải là biển báo cấm rẽ phải, đúng hay sai?",biển báo
train_0525,"Trong video này, để rẽ phải đi theo hướng đường Công Quỳnh, người lái xe cần thực hiện quy trình thao tác nào là hợp lệ?","biển báo, làn đường"
train_0526,"Trong video này, các biển báo ở phía bên phải cho biết quy định về việc đỗ xe tại khu vực này là gì?",biển báo
train_0527,"Trong video, hành vi các xe ô tô đang đậu ở hướng bên phải có đúng hay không?",biển báo
train_0528,"Trong video, tại nút giao tiếp theo, xe hơi chỉ được đi thẳng hoặc rẽ trái đúng không?",biển báo
train_0529,"Trong video, biển báo nào sau đây đã xuất hiện?",biển báo
train_0530,"Trong video, xe buýt có được rẽ trái trong khoảng thời gian bị cấm không?",biển báo
train_0531,"Trong video, biển cấm xe khách rẽ trái và quay đầu xe áp dụng trong khung giờ nào?",biển báo
train_0532,"Trong video, biển cấm nào xuất hiện đầu tiên trên tuyến đường xe đang chạy?","biển báo, làn đường"
train_0533,"Tren tuyến đường xe đang chạy trong video, có tất cả 2 nhóm biển báo khác nhau đúng không?","biển báo, làn đường"
train_0534,"Trong video, những biển báo nào sau đây đã xuất hiện? Chọn đáp án đúng và đầy đủ nhất.",biển báo
train_0535,"Trong video, biển cấm nào xuất hiện đầu tiên bên tay phải?",biển báo
train_0536,"Trong video, các phương tiện có thể đỗ xe vào lúc 23h không?",biển báo
train_0537,"Trong video, các phương tiện có thể dừng xe không?",biển báo
train_0538,"Trong video, những biển báo cấm nào sau đây đã xuất hiện?",biển báo
train_0539,"Trong video, phương tiện nào bị cấm theo biển báo?",biển báo
train_0540,"Trong video, cấm đỗ xe trong thời gian nào?",biển báo
train_0541,"Trong video, xe con có thể đỗ xe vào lúc 2h không?",biển báo
train_0542,"Trong video, nội dung các biển báo cấm là gì?",biển báo
train_0543,Biển thứ 2 xuất hiện trong video là gì?,biển báo
train_0544,Biển thứ 2 xuất hiện trong video là biển cấm rẽ trái. Đúng hay sai?,biển báo
train_0545,"Trong video, những biển báo nào xuất hiện? Chọn đáp án đúng và đầy đủ nhất.",biển báo
train_0546,"Trong video, biển báo tròn bên phải có ý nghĩa gì?",biển báo
train_0547,"Trong video, có biển chỉ dẫn đi theo 2 hướng, đúng hay sai?",biển báo
train_0548,"Trong video, biển tròn viền đỏ có ý nghĩa gì?",biển báo
train_0549,"Trong video, phương tiện nào bị cấm lưu thông theo khung giờ và trọng lượng quy định?",biển báo
train_0550,"Trong video, phương tiện có thể đỗ xe trong thời gian quy định vào khung giờ nào?",biển báo
train_0551,"Trong video, có biển báo hiệu lệnh rẽ phải phía trướ",biển báo
train_0552,"Trong video, phương tiện có thể đỗ xe trong thời gian quy định vào khung giờ nào?",biển báo
train_0553,"Trong video, biển tròn viền đỏ có ý nghĩa gì?",biển báo
train_0554,"Trong video, có biển báo hiệu lệnh rẽ phải phía trước đúng hay sai?",biển báo
train_0555,"Trong video, biển cấm đỗ xe áp dụng trong khoảng thời gian nào?",biển báo
train_0556,"Trong video, nếu xe di chuyển ở làn trong cùng bên phải thì có được rẽ trái tại nút giao tiếp theo không?","biển báo, làn đường"
train_0557,"Trong video, những biển báo cấm nào xuất hiện? Chọn đáp án đúng và đầy đủ nhất.",biển báo
train_0558,"Trong video, có bao nhiêu nhóm biển báo khác nhau biển báo nào xuất hiện?",biển báo
train_0559,"Trong video, xe khách màu xanh dương có thể dừng đỗ ở khu vực biển báo hình chứ nhật không?",biển báo
train_0560,"Trong video, tại nút giao, phương tiện được phép rẽ trái vào lúc 7 giờ sáng, đúng không?",biển báo
train_0561,"Trong video, những loại biển báo nào sau đây xuất hiện trước nút giao?",biển báo
train_0562,"Trong video, tại nút giao phương tiện sẽ được rẽ trái vào khoảng thời gian nào?",biển báo
train_0563,"Trong video này, biển báo cấm ở phía bên phải đường cho biết người lái xe không được di chuyển theo hướng nào?","biển báo, làn đường"
train_0564,"Biển báo cấm ở phía bên phải đường trong video cho biết người lái xe không được rẽ trái, đúng không?","biển báo, làn đường"
train_0565,"Trong video, có xuất hiện các biển báo cấm nào sau đây?",biển báo
train_0566,"Trong video, có xuất hiện 4 biển báo cấm khác nhau, đúng hay sai?",biển báo
train_0567,Biển báo xuất hiện đầu tiên trong video thuộc loại biển báo gì?,biển báo
train_0568,"Trong video này, vạch kẻ đường màu vàng ở giữa tim đường có cho phép người lái xe được lấn sang làn ngược chiều không?",làn đường
train_0569,"Trong video này, biển báo giao thông phía sau trạm xe buýt quy định người điều khiển phương tiện phải tuân thủ điều gì?",biển báo
train_0570,"Trong video này, để di chuyển an toàn trong điều kiện giao thông đông đú",biển báo
train_0571,"Trong video, phương tiện được đi những hướng chính nào sau nút giao?",biển báo
train_0572,"Trong video này, theo các biển báo ở bên phải, việc dừng xe trên đoạn đường này vào lúc 8 giờ sáng có được phép không?","biển báo, làn đường"
train_0573,"Trong video này, người lái xe có được phép thực hiện thao tác rẽ phải tại giao lộ phía trước theo chỉ dẫn của biển báo không?",biển báo
train_0574,"Trong video, biển báo nào sau đây xuất hiện trước nút giao?",biển báo
train_0575,"Trong video, những loại biển báo nào sau đây xuất hiện trước nút giao?",biển báo
train_0576,"Trong video này, khi thấy người đi bộ đứng chờ ở vỉa hè gần vạch kẻ đường, người lái xe nên có phương án xử lý nào?",làn đường
train_0577,"Trong video này, để chuẩn bị vượt xe tải màu xanh phía trướ",Khác
train_0578,"Ở cuối video, tuyến đường mà ô tô di chuyển có 1 làn dành cho xe 2 bánh, đúng hay sai?","biển báo, làn đường"
train_0579,Biển báo xuất hiện đầu tiên trong video thuộc loại biển báo gì?,biển báo
train_0580,"Trong video này, giả sử muốn dừng xe ở lề đường bên phải, quy trình thao tác nào là đúng và an toàn nhất?",làn đường
train_0581,"Trong video này, vạch kẻ đường phân chia hai chiều xe chạy có cho phép người lái xe được đè lên để vượt xe khác không?",làn đường
train_0582,Có mấy nhóm biển báo trong video?,biển báo
train_0583,"Trong video, trên làn đường phương tiện di chuyển có thể rẽ trái khi đến nút giao không?","biển báo, làn đường"
train_0584,Hai biển báo trong video thuộc nhóm biển báo nào?,biển báo
train_0585,"Trong video, tại khu vực ngã ba có bao nhiêu nhóm biển báo?",biển báo
train_0586,"Trong video, các phương tiện có được rẽ trái khi đang di chuyển ở làn ngoài cùng bên trái không?","biển báo, làn đường"
train_0587,Nếu xe con trong video muốn rẽ phải ở giao lộ tiếp theo thì có cần chuyển sang làn bên phải không?,"biển báo, làn đường"
train_0588,"Trong video, làn nào cho phép xe con rẽ phải ở làn tiếp theo?","biển báo, làn đường"
train_0589,Trong video có xuất hiện biển báo hiệu lệnh không?,biển báo
train_0590,Những loại biển báo nào xuất hiện trong video?,biển báo
train_0591,Nội dung của biển báo cấm bên phải đường trong video là gì?,"biển báo, làn đường"
train_0592,"Biển báo bên phải đường trong video là biển cấm dừng và đỗ xe, đúng hay sai?","biển báo, làn đường"
train_0593,Trong video có xuất hiện biển cấm không?,biển báo
train_0594,Những biển báo cấm nào xuất hiện trong video?,biển báo
train_0595,"Trong video, làn xe con đang chạy có thể rẽ trái tại giao lộ tiếp theo đúng không?","biển báo, làn đường"
